"Time","Buses.On.Route","RouteID"
"1372824000","0","11Y"
"1372824060","0","11Y"
"1372824120","0","11Y"
"1372824180","0","11Y"
"1372824240","0","11Y"
"1372824300","0","11Y"
"1372824360","0","11Y"
"1372824420","0","11Y"
"1372824480","0","11Y"
"1372824540","0","11Y"
"1372824600","0","11Y"
"1372824660","0","11Y"
"1372824720","0","11Y"
"1372824780","0","11Y"
"1372824840","0","11Y"
"1372824900","0","11Y"
"1372824960","0","11Y"
"1372825020","0","11Y"
"1372825080","0","11Y"
"1372825140","0","11Y"
"1372825200","0","11Y"
"1372825260","0","11Y"
"1372825320","0","11Y"
"1372825380","0","11Y"
"1372825440","0","11Y"
"1372825500","0","11Y"
"1372825560","0","11Y"
"1372825620","0","11Y"
"1372825680","0","11Y"
"1372825740","0","11Y"
"1372825800","0","11Y"
"1372825860","0","11Y"
"1372825920","0","11Y"
"1372825980","0","11Y"
"1372826040","0","11Y"
"1372826100","0","11Y"
"1372826160","0","11Y"
"1372826220","0","11Y"
"1372826280","0","11Y"
"1372826340","0","11Y"
"1372826400","0","11Y"
"1372826460","0","11Y"
"1372826520","0","11Y"
"1372826580","0","11Y"
"1372826640","0","11Y"
"1372826700","0","11Y"
"1372826760","0","11Y"
"1372826820","0","11Y"
"1372826880","0","11Y"
"1372826940","0","11Y"
"1372827000","0","11Y"
"1372827060","0","11Y"
"1372827120","0","11Y"
"1372827180","0","11Y"
"1372827240","0","11Y"
"1372827300","0","11Y"
"1372827360","0","11Y"
"1372827420","0","11Y"
"1372827480","0","11Y"
"1372827540","0","11Y"
"1372827600","0","11Y"
"1372827660","0","11Y"
"1372827720","0","11Y"
"1372827780","0","11Y"
"1372827840","0","11Y"
"1372827900","0","11Y"
"1372827960","0","11Y"
"1372828020","0","11Y"
"1372828080","0","11Y"
"1372828140","0","11Y"
"1372828200","0","11Y"
"1372828260","0","11Y"
"1372828320","0","11Y"
"1372828380","0","11Y"
"1372828440","0","11Y"
"1372828500","0","11Y"
"1372828560","0","11Y"
"1372828620","0","11Y"
"1372828680","0","11Y"
"1372828740","0","11Y"
"1372828800","0","11Y"
"1372828860","0","11Y"
"1372828920","0","11Y"
"1372828980","0","11Y"
"1372829040","0","11Y"
"1372829100","0","11Y"
"1372829160","0","11Y"
"1372829220","0","11Y"
"1372829280","0","11Y"
"1372829340","0","11Y"
"1372829400","0","11Y"
"1372829460","0","11Y"
"1372829520","0","11Y"
"1372829580","0","11Y"
"1372829640","0","11Y"
"1372829700","0","11Y"
"1372829760","0","11Y"
"1372829820","0","11Y"
"1372829880","0","11Y"
"1372829940","0","11Y"
"1372830000","0","11Y"
"1372830060","0","11Y"
"1372830120","0","11Y"
"1372830180","0","11Y"
"1372830240","0","11Y"
"1372830300","0","11Y"
"1372830360","0","11Y"
"1372830420","0","11Y"
"1372830480","0","11Y"
"1372830540","0","11Y"
"1372830600","0","11Y"
"1372830660","0","11Y"
"1372830720","0","11Y"
"1372830780","0","11Y"
"1372830840","0","11Y"
"1372830900","0","11Y"
"1372830960","0","11Y"
"1372831020","0","11Y"
"1372831080","0","11Y"
"1372831140","0","11Y"
"1372831200","0","11Y"
"1372831260","0","11Y"
"1372831320","0","11Y"
"1372831380","0","11Y"
"1372831440","0","11Y"
"1372831500","0","11Y"
"1372831560","0","11Y"
"1372831620","0","11Y"
"1372831680","0","11Y"
"1372831740","0","11Y"
"1372831800","0","11Y"
"1372831860","0","11Y"
"1372831920","0","11Y"
