"Lat","Lon","Name","Routes","StopID"
38.899723,-77.188897,"","28A","14564"
38.899723,-77.188897,"","28Ac","14564"
38.899723,-77.188897,"","28X","14564"
38.9655,-76.956062,"","C4","9157"
38.9655,-76.956062,"","C4c","9157"
38.9655,-76.956062,"","C4cv1","9157"
38.879551,-76.912949,"","V14","4440"
38.879551,-76.912949,"","V14v1","4440"
38.879551,-76.912949,"","V15","4440"
38.88015,-76.984444,"","M6","12071"
38.832962,-77.122586,"#1801 BEAUREGARD ST","7A","4000472"
38.832962,-77.122586,"#1801 BEAUREGARD ST","7Av1","4000472"
38.832962,-77.122586,"#1801 BEAUREGARD ST","7Av2","4000472"
38.832962,-77.122586,"#1801 BEAUREGARD ST","7F","4000472"
38.832962,-77.122586,"#1801 BEAUREGARD ST","7Fv1","4000472"
38.832962,-77.122586,"#1801 BEAUREGARD ST","7W","4000472"
38.832962,-77.122586,"#1801 BEAUREGARD ST","7X","4000472"
38.889022,-76.939079,"#4805 TEXAS AVE SE","U5","1003031"
38.889022,-76.939079,"#4805 TEXAS AVE SE","U5v2","1003031"
38.889022,-76.939079,"#4805 TEXAS AVE SE","U6","1003031"
38.889022,-76.939079,"#4805 TEXAS AVE SE","U6v2","1003031"
38.877916,-77.13948,"10TH RD + LIVINGSTON ST","1E","6000459"
38.879669,-77.142766,"10TH RD + MADISON ST","1E","6000490"
38.879562,-77.143339,"10TH RD + MADISON ST","1E","6000488"
38.87898,-77.140871,"10TH RD + PATRICK HENRY DR","1E","6000474"
38.878744,-77.140448,"10TH RD + PATRICK HENRY DR","1E","6000469"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","13G","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","13Gv1","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","63","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","64","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","7Y","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","7Yc","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","7Yv1","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","S2","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","S2v2","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","S2v3","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","S2v5","1000910"
38.893388,-77.026117,"10TH ST + CONSTITUTION AVE","S4","1000910"
38.893768,-77.026057,"10TH ST + CONSTITUTION AVE (63 & 64","D1","17074"
38.893768,-77.026057,"10TH ST + CONSTITUTION AVE (63 & 64","N3","17074"
38.893768,-77.026057,"10TH ST + CONSTITUTION AVE (63 & 64","N3v1","17074"
38.892437,-77.026118,"10TH ST + CONSTITUTION AVE (63 & 64","63","1003570"
38.892437,-77.026118,"10TH ST + CONSTITUTION AVE (63 & 64","64","1003570"
38.892778,-77.026124,"10TH ST + CONSTITUTION AVE (S2 S4 O","S2","1003432"
38.892778,-77.026124,"10TH ST + CONSTITUTION AVE (S2 S4 O","S2cv3","1003432"
38.892778,-77.026124,"10TH ST + CONSTITUTION AVE (S2 S4 O","S2v2","1003432"
38.892778,-77.026124,"10TH ST + CONSTITUTION AVE (S2 S4 O","S2v3","1003432"
38.892778,-77.026124,"10TH ST + CONSTITUTION AVE (S2 S4 O","S2v5","1003432"
38.892778,-77.026124,"10TH ST + CONSTITUTION AVE (S2 S4 O","S4","1003432"
38.935588,-76.993132,"10TH ST + MICHIGAN AVE","H6","1002206"
38.935588,-76.993132,"10TH ST + MICHIGAN AVE","H8","1002206"
38.935588,-76.993132,"10TH ST + MICHIGAN AVE","R4","1002206"
38.937204,-76.993694,"10TH ST + PERRY PL","H8","1002242"
38.937095,-76.993526,"10TH ST + PERRY PL","H8","1002234"
38.937095,-76.993526,"10TH ST + PERRY PL","H9","1002234"
38.938709,-76.993231,"10TH ST + RANDOLPH ST","H8","1002280"
38.939265,-76.992797,"10TH ST + RANDOLPH ST","H8","1002281"
38.939265,-76.992797,"10TH ST + RANDOLPH ST","H9","1002281"
38.940067,-76.992581,"10TH ST + SHEPHERD ST","H8","1002306"
38.940067,-76.992581,"10TH ST + SHEPHERD ST","H9","1002306"
38.935823,-76.993071,"10TH ST NE + MICHIGAN AVE NE","H8","1002213"
38.935823,-76.993071,"10TH ST NE + MICHIGAN AVE NE","H9","1002213"
38.893649,-77.025842,"10TH ST NW + PENNSYLVANIA AVE NW (3","32cv4","1003288"
38.893649,-77.025842,"10TH ST NW + PENNSYLVANIA AVE NW (3","32v1","1003288"
38.893649,-77.025842,"10TH ST NW + PENNSYLVANIA AVE NW (3","34","1003288"
38.893649,-77.025842,"10TH ST NW + PENNSYLVANIA AVE NW (3","37","1003288"
38.89406,-77.025815,"10TH ST NW + PENNSYLVANIA AVE NW (A","A42","1003287"
38.89406,-77.025815,"10TH ST NW + PENNSYLVANIA AVE NW (A","A42v1","1003287"
38.89406,-77.025815,"10TH ST NW + PENNSYLVANIA AVE NW (A","A46","1003287"
38.89406,-77.025815,"10TH ST NW + PENNSYLVANIA AVE NW (A","A46v1","1003287"
38.89406,-77.025815,"10TH ST NW + PENNSYLVANIA AVE NW (A","A48","1003287"
